id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
2116;5747;08/01/2017;domingo;17:00:00;MG;365;494;PATROCINIO;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Não;4416;Caminhão-trator;SCANIA/R124 GA4X2NZ 400;2003;Condutor;Lesões Leves;53;Masculino;0;1;0;0;-18,9086;-47,1838;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
2171;6885;08/01/2017;domingo;15:00:00;MG;365;624,5;UBERLANDIA;Desobediência às normas de trânsito pelo condutor;Colisão com objeto estático;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;4049;Caminhão-trator;I/IVECO STRALIHD 570S38T;2008;Condutor;Ileso;30;Masculino;1;0;0;0;-18,9146078;-48,2753801;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
2325;5023;09/01/2017;segunda-feira;08:00:00;MG;365;741,4;ITUIUTABA;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Não;3894;Caminhão;M.BENZ/L 1620;2010;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-18,91225629;-49,3621254;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
3688;9044;14/01/2017;sábado;11:00:00;MG;365;625,3;UBERLANDIA;Falta de Atenção à Condução;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;"Curva;Aclive";Sim;5992;Caminhão-trator;SCANIA/R124 LA6X2NA 400;2003;Condutor;Ileso;60;Masculino;1;0;0;0;-18,91073722;-48,30362764;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
4585;11711;17/01/2017;terça-feira;14:10:00;MG;365;693;MONTE ALEGRE DE MINAS;Pista Escorregadia;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;8909;Caminhão-trator;VOLVO/FH 440 6X2T;2010;Condutor;Lesões Leves;54;Masculino;0;1;0;0;-18,87737676;-48,90375137;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
4585;11710;17/01/2017;terça-feira;14:10:00;MG;365;693;MONTE ALEGRE DE MINAS;Pista Escorregadia;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;7521;Caminhão-trator;VOLVO/VM 310 4X2T;2011;Condutor;Ileso;48;Masculino;1;0;0;0;-18,87737676;-48,90375137;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
4820;14989;18/01/2017;quarta-feira;08:47:00;MG;365;482,5;PATROCINIO;Defeito na Via;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;7915;Caminhão-trator;VOLVO/FH 540 6X4T;2012;Condutor;Ileso;36;Masculino;1;0;0;0;-18,89741515;-47,05990165;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
6842;15194;26/01/2017;quinta-feira;14:00:00;MG;365;619;UBERLANDIA;Desobediência às normas de trânsito pelo condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;11684;Caminhão-trator;SCANIA/T113 H 4X2 360;1996;Condutor;Ileso;38;Masculino;1;0;0;0;-18,9113;-48,2622;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
6842;15191;26/01/2017;quinta-feira;14:00:00;MG;365;619;UBERLANDIA;Desobediência às normas de trânsito pelo condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;11679;Caminhão-trator;M.BENZ/LS 1938;1999;Condutor;Ileso;38;Masculino;1;0;0;0;-18,9113;-48,2622;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
6842;15208;26/01/2017;quinta-feira;14:00:00;MG;365;619;UBERLANDIA;Desobediência às normas de trânsito pelo condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;11695;Caminhão;M.BENZ/L 1113;1977;Condutor;Ileso;46;Masculino;1;0;0;0;-18,9113;-48,2622;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
6978;15444;26/01/2017;quinta-feira;23:00:00;MG;365;684;MONTE ALEGRE DE MINAS;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;11932;Caminhão-trator;M.BENZ/AXOR 2040 S;2010;Condutor;Ileso;33;Masculino;1;0;0;0;-18,8497;-48,8296;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
6978;15446;26/01/2017;quinta-feira;23:00:00;MG;365;684;MONTE ALEGRE DE MINAS;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;11936;Caminhão-trator;VOLVO/FH 440 6X4T;2010;Condutor;Lesões Leves;40;Masculino;0;1;0;0;-18,8497;-48,8296;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
7639;16850;29/01/2017;domingo;14:45:00;MG;365;639;UBERLANDIA;Mal Súbito;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Não;13083;Caminhão-trator;SCANIA/G 420 A6X4;2011;Condutor;Ileso;37;Masculino;1;0;0;0;-18,8955;-48,3978;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
8067;17730;31/01/2017;terça-feira;07:45:00;MG;365;619,5;UBERLANDIA;Desobediência às normas de trânsito pelo condutor;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;13879;Caminhão-trator;VOLVO/FH 460 6X2T;2015;Condutor;Ileso;36;Masculino;1;0;0;0;-18,88522296;-48,26475531;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
9019;19543;03/02/2017;sexta-feira;10:30:00;MG;365;657;UBERLANDIA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Retorno Regulamentado;Não;15511;Caminhão;M.BENZ/L 1113;1975;Condutor;Lesões Leves;51;Masculino;0;1;0;0;-18,86867647;-48,56066734;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
9863;21286;06/02/2017;segunda-feira;17:15:00;MG;365;619,3;UBERLANDIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;16858;Caminhão-trator;SCANIA/R 440 A6X4;2013;Condutor;Ileso;31;Masculino;1;0;0;0;-18,89004061;-48,2573095;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
9863;21296;06/02/2017;segunda-feira;17:15:00;MG;365;619,3;UBERLANDIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;16859;Caminhão;IVECO/EUROCARGO 230E24;2010;Condutor;Ileso;36;Masculino;1;0;0;0;-18,89004061;-48,2573095;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
10264;22251;08/02/2017;quarta-feira;06:00:00;MG;365;476,8;PATROCINIO;Defeito Mecânico no Veículo;Incêndio;Sem Vítimas;Amanhecer;Decrescente;Nublado;Múltipla;Curva;Não;17584;Caminhão;VW/24.220 EURO3 WORKER;2006;Condutor;Ileso;34;Masculino;1;0;0;0;-18,92807715;-47,01005984;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
10284;26070;08/02/2017;quarta-feira;14:40:00;MG;365;627,7;UBERLANDIA;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;17798;Caminhão;VW/7.110 S;1990;Condutor;Ileso;29;Masculino;1;0;0;0;-18,90828604;-48,30143988;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
10570;23071;09/02/2017;quinta-feira;12:45:00;MG;365;446;GUIMARANIA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;18209;Caminhão-trator;SCANIA/R 440 A6X2;2016;Condutor;Lesões Leves;50;Masculino;0;1;0;0;-18,808611;-46,76889;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
11602;27206;13/02/2017;segunda-feira;00:45:00;MG;365;702,5;MONTE ALEGRE DE MINAS;Defeito na Via;Tombamento;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;19907;Caminhão-trator;VOLVO/FH 540 6X4T;2013;Condutor;Ileso;41;Masculino;1;0;0;0;-18,87975412;-48,9940775;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
12075;26097;14/02/2017;terça-feira;13:30:00;MG;365;545,2;ROMARIA;Ultrapassagem Indevida;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;20863;Caminhão-trator;VOLVO/FH 440 6X4T;2011;Condutor;Lesões Leves;60;Masculino;0;1;0;0;-18,93240552;-47,59815479;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
12137;27008;15/02/2017;quarta-feira;01:00:00;MG;365;543,4;ROMARIA;Condutor Dormindo;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;21524;Caminhão;M.BENZ/L 1518;1987;Condutor;Lesões Leves;66;Masculino;0;1;0;0;-18,931244;-47,65776;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
12778;30319;17/02/2017;sexta-feira;19:45:00;MG;365;624,9;UBERLANDIA;Falta de Atenção à Condução;Saída de leito carroçável;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Curva;Não;22480;Caminhão-trator;VOLVO/FH 440 6X2T;2011;Condutor;Ileso;46;Masculino;1;0;0;0;-18,9146078;-48,2753801;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
13991;30841;22/02/2017;quarta-feira;10:50:00;MG;365;497,2;PATROCINIO;Falta de Atenção à Condução;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;"Reta;Aclive";Não;24548;Caminhão-trator;VOLVO/FH 440 6X4T;2011;Condutor;Ileso;32;Masculino;1;0;0;0;-18,9101619;-47,18616664;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
14480;31538;24/02/2017;sexta-feira;08:35:00;MG;365;620,5;UBERLANDIA;Falta de Atenção à Condução;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;25265;Caminhão;VW/13.180 CNM;2009;Condutor;Ileso;32;Masculino;1;0;0;0;-18,88583297;-48,26684207;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
15607;34507;27/02/2017;segunda-feira;07:25:00;MG;365;665,9;MONTE ALEGRE DE MINAS;Falta de Atenção à Condução;Tombamento;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;27675;Caminhão;VOLVO/VM330 6X2R;2013;Condutor;Ileso;32;Masculino;1;0;0;0;-18,89440378;-48,73687749;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
15780;34118;27/02/2017;segunda-feira;20:30:00;MG;365;489;PATROCINIO;Desobediência às normas de trânsito pelo condutor;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Múltipla;Reta;Não;27458;Caminhão;M.BENZ/1721;1995;Condutor;Ileso;42;Masculino;1;0;0;0;-18,90067142;-47,13306569;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
16459;39190;02/03/2017;quinta-feira;14:10:00;MG;365;525;MONTE CARMELO;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Pleno dia;Decrescente;Sol;Simples;Interseção de Vias;Não;31305;Caminhão;IMP/FORD F4000;1983;Condutor;Ileso;62;Masculino;1;0;0;0;-18,9146;-47,41822;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
16722;36704;03/03/2017;sexta-feira;15:50:00;MG;365;620,3;UBERLANDIA;Restrição de Visibilidade;Colisão com objeto estático;Sem Vítimas;Pleno dia;Crescente;Nublado;Múltipla;"Em Obras;Desvio Temporário;Reta";Sim;29254;Caminhão;M.BENZ/L 1313;1979;Condutor;Ileso;32;Masculino;1;0;0;0;-18,88668728;-48,26782405;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
17457;38411;06/03/2017;segunda-feira;09:15:00;MG;365;747,4;ITUIUTABA;Pista Escorregadia;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Simples;"Declive;Curva";Não;30356;Caminhão-trator;VOLVO/FH 440 6X2T;2010;Condutor;Ileso;40;Masculino;1;0;0;0;-18,91851588;-49,41593975;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
17457;38414;06/03/2017;segunda-feira;09:15:00;MG;365;747,4;ITUIUTABA;Pista Escorregadia;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Simples;"Declive;Curva";Não;30357;Caminhão;M.BENZ/1215 C;2003;Condutor;Ileso;33;Masculino;1;0;0;0;-18,91851588;-49,41593975;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
17768;40748;07/03/2017;terça-feira;16:25:00;MG;365;503,9;PATROCINIO;Objeto estático sobre o leito carroçável;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;31170;Caminhão-trator;I/IVECO STRALIHD 570S38T;2008;Condutor;Ileso;39;Masculino;1;0;0;0;-18,96036;-47,24494;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
18085;39387;08/03/2017;quarta-feira;22:00:00;MG;365;636;UBERLANDIA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Aclive;Não;31503;Caminhão-trator;SCANIA/G 420 A4X2;2011;Condutor;Ileso;24;Masculino;1;0;0;0;-18,89620249;-48,39387417;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
18240;39854;09/03/2017;quinta-feira;13:30:00;MG;365;713;MONTE ALEGRE DE MINAS;Defeito Mecânico no Veículo;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;"Reta;Ponte;Declive";Não;31838;Caminhão-trator;IVECO/STRALIS 460S36T;2013;Condutor;Ileso;34;Masculino;1;0;0;0;-18,871014;-48,881233;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
18273;41905;09/03/2017;quinta-feira;17:00:00;MG;365;570;INDIANOPOLIS;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;33627;Caminhão;M.BENZ/ATEGO 2426;2014;Condutor;Lesões Leves;38;Masculino;0;1;0;0;-18,9167;-47,8325;SPRF-MG;DEL15-MG;UOP02-DEL15-MG
18273;41907;09/03/2017;quinta-feira;17:00:00;MG;365;570;INDIANOPOLIS;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;33630;Caminhão;VW/BMB 19.320 CNC 6X2;2009;Condutor;Ileso;46;Masculino;1;0;0;0;-18,9167;-47,8325;SPRF-MG;DEL15-MG;UOP02-DEL15-MG
18562;40686;10/03/2017;sexta-feira;16:40:00;MG;365;590;UBERLANDIA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Declive;Não;32641;Caminhão-trator;IVECO/STRALIS 600S40T;2014;Condutor;Lesões Leves;42;Masculino;0;1;0;0;-18,88777185;-48,1153965;SPRF-MG;DEL15-MG;UOP02-DEL15-MG
18705;42952;11/03/2017;sábado;05:20:00;MG;365;597,5;UBERLANDIA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Curva;Não;34188;Caminhão-trator;M.BENZ/AXOR 2544 S;2010;Condutor;Ileso;36;Masculino;1;0;0;0;-18,87329449;-48,08795869;SPRF-MG;DEL15-MG;UOP02-DEL15-MG
18921;43485;11/03/2017;sábado;19:50:00;MG;365;429;PATOS DE MINAS;Não guardar distância de segurança;Capotamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;34930;Caminhão;VW/24.280 CRM 6X2;2012;Condutor;Ileso;37;Masculino;1;0;0;0;-18,74573;-46,63384;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
19813;47246;15/03/2017;quarta-feira;06:30:00;MG;365;628;UBERLANDIA;Pista Escorregadia;Colisão com objeto estático;Sem Vítimas;Amanhecer;Crescente;Chuva;Dupla;Curva;Sim;38255;Caminhão;IVECO/DAILY70C16 CS;2010;Condutor;Ileso;44;Masculino;1;0;0;0;-18,9105;-48,3046;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
19813;47250;15/03/2017;quarta-feira;06:30:00;MG;365;628;UBERLANDIA;Pista Escorregadia;Colisão com objeto estático;Sem Vítimas;Amanhecer;Crescente;Chuva;Dupla;Curva;Sim;38255;Caminhão;IVECO/DAILY70C16 CS;2010;Passageiro;Ileso;18;Feminino;1;0;0;0;-18,9105;-48,3046;SPRF-MG;DEL15-MG;UOP01-DEL15-MG
19866;44000;15/03/2017;quarta-feira;10:40:00;MG;365;469,3;PATROCINIO;Defeito Mecânico no Veículo;Capotamento;Com Vítimas Fatais;Pleno dia;Crescente;Sol;Simples;"Aclive;Reta";Não;34972;Caminhão-trator;SCANIA/T112 HS 4X2;1987;Passageiro;Não Informado;0;Não Informado;0;0;0;0;-18,90523089;-46,96267962;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
19866;43998;15/03/2017;quarta-feira;10:40:00;MG;365;469,3;PATROCINIO;Defeito Mecânico no Veículo;Capotamento;Com Vítimas Fatais;Pleno dia;Crescente;Sol;Simples;"Aclive;Reta";Não;34972;Caminhão-trator;SCANIA/T112 HS 4X2;1987;Condutor;Lesões Graves;64;Masculino;0;0;1;0;-18,90523089;-46,96267962;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
19913;43463;15/03/2017;quarta-feira;14:00:00;MG;365;731;CANAPOLIS;Falta de Atenção à Condução;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Não;34918;Caminhão;IVECO/TECTOR 240E25S;2011;Condutor;Ileso;42;Masculino;1;0;0;0;-18,8985;-49,2714;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
19913;43465;15/03/2017;quarta-feira;14:00:00;MG;365;731;CANAPOLIS;Falta de Atenção à Condução;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Não;34922;Caminhão;VW/14.170 BT;1999;Condutor;Ileso;50;Masculino;1;0;0;0;-18,8985;-49,2714;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
19913;43477;15/03/2017;quarta-feira;14:00:00;MG;365;731;CANAPOLIS;Falta de Atenção à Condução;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Não;34927;Caminhão-trator;VOLVO/FH 400 6X2T;2007;Condutor;Ileso;42;Masculino;1;0;0;0;-18,8985;-49,2714;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
20076;43671;16/03/2017;quinta-feira;07:00:00;MG;365;494;PATROCINIO;Mal Súbito;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Não;35125;Caminhão-trator;VOLVO/FH 500 6X2T;2013;Condutor;Lesões Leves;46;Masculino;0;1;0;0;-18,90661621;-47,17749786;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
20295;44824;17/03/2017;sexta-feira;00:10:00;MG;365;504;MONTE CARMELO;Condutor Dormindo;Tombamento;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;36127;Caminhão;M.BENZ/915C;2005;Condutor;Ileso;39;Masculino;1;0;0;0;-18,91992756;-47,34489441;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
21018;48776;19/03/2017;domingo;05:10:00;MG;365;548;ROMARIA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;38546;Caminhão;M.BENZ/L 1620;2011;Condutor;Ileso;30;Masculino;1;0;0;0;-18,932;-47,6254;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
21018;48762;19/03/2017;domingo;05:10:00;MG;365;548;ROMARIA;Falta de Atenção à Condução;Colisão transversal;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;38559;Caminhão;M.BENZ/L 2014;1987;Condutor;Ileso;54;Masculino;1;0;0;0;-18,932;-47,6254;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
