classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,5286","0,2206"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2","0,6133"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Caminhão,"0,3857","0,9651"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,6286","0,6157"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Caminhão-trator,"0,5429","0,8194"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Caminhão-trator,"0,4571","0,8194"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2857","0,186"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,3143","0,5967"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,3143","0,5967"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,4286","0,5967"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,2429","0,7924"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,3429","0,7924"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão-trator,"0,3","0,6569"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2857","0,5983"
Com Vítimas Feridas,Pleno dia,Céu Claro,Retorno Regulamentado,Caminhão,"0,5","0,7111"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2143","0,5977"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2857","0,5977"
Sem Vítimas,Amanhecer,Nublado,Curva,Caminhão,"0,2571","0,1688"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,1857","0,6229"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4857","0,0761"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,3571","0,848"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,6286","0,3747"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,7143","0,3692"
Sem Vítimas,Plena Noite,Nublado,Curva,Caminhão-trator,"0,4286","0,6145"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2286","0,2302"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2286","0,6013"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhão,"0,2286","0,7379"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Reta,Caminhão,"0,3714","0,2055"
Sem Vítimas,Pleno dia,Sol,Interseção de Vias,Caminhão,"0,6571","0,3139"
Sem Vítimas,Pleno dia,Nublado,Em Obras,Caminhão,"0,2286","0,6007"
Com Vítimas Feridas,Pleno dia,Garoa/Chuvisco,Declive,Caminhão-trator,"0,3429","0,9831"
Com Vítimas Feridas,Pleno dia,Garoa/Chuvisco,Declive,Caminhão,"0,2429","0,9831"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,3286","0,2504"
Sem Vítimas,Plena Noite,Céu Claro,Aclive,Caminhão-trator,"0,1143","0,6479"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2571","0,8796"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão,"0,3143","0,4493"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão,"0,4286","0,4493"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Caminhão-trator,"0,3714","0,5095"
Com Vítimas Feridas,Plena Noite,Nublado,Curva,Caminhão-trator,"0,2857","0,532"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,3","0,025"
Sem Vítimas,Amanhecer,Chuva,Curva,Caminhão,"0,4","0,6238"
Sem Vítimas,Amanhecer,Chuva,Curva,Caminhão,"0,0286","0,6238"
Com Vítimas Fatais,Pleno dia,Sol,Aclive,Caminhão-trator,"0,6857","0,1463"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,3714","0,9338"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,4857","0,9338"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão-trator,"0,3714","0,9338"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão-trator,"0,4286","0,2206"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão,"0,3286","0,2507"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão,"0,2","0,3831"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão,"0,5429","0,3831"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,6286","0,3831"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,6429","0,3831"
Com Vítimas Feridas,Plena Noite,Céu Claro,Aclive,Caminhão-trator,"0,1429","0,1995"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão,"0,4429","0,0837"
Com Vítimas Feridas,Amanhecer,Céu Claro,Aclive,Caminhão-trator,"0,3857","0,991"
Com Vítimas Feridas,Amanhecer,Céu Claro,Aclive,Caminhão-trator,"0,3286","0,991"
Com Vítimas Feridas,Amanhecer,Céu Claro,Aclive,Caminhão,"0,2429","0,991"
Com Vítimas Feridas,Amanhecer,Céu Claro,Aclive,Caminhão,"0,4429","0,991"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2","0,8414"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4571","0,8414"
Sem Vítimas,Pleno dia,Sol,Reta,Caminhão,"0,4714","0,3199"
Sem Vítimas,Pleno dia,Sol,Reta,Caminhão-trator,"0,3143","0,3199"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhão,"0,3429","0,7999"
Com Vítimas Feridas,Pleno dia,Sol,Curva,Caminhão-trator,"0,3286","0,6088"
Sem Vítimas,Pleno dia,Chuva,Reta,Caminhão-trator,"0,6571","0,8194"
Sem Vítimas,Pleno dia,Chuva,Reta,Caminhão,"0,6143","0,8194"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,5714","0,9218"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Caminhão-trator,"0,3857","0,2456"
Com Vítimas Feridas,Plena Noite,Nublado,Declive,Caminhão,"0,7429","0,5363"
Com Vítimas Feridas,Plena Noite,Nublado,Declive,Caminhão,"0,5857","0,5363"
Com Vítimas Feridas,Amanhecer,Chuva,Interseção de Vias,Caminhão-trator,"0,3429","0,6268"
Sem Vítimas,Plena Noite,Céu Claro,Em Obras,Caminhão,"0,3571","0,8044"
Com Vítimas Feridas,Anoitecer,Céu Claro,Curva,Caminhão-trator,"0,4","0,7562"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,1143","0,6073"
Sem Vítimas,Pleno dia,Céu Claro,Aclive,Caminhão,"0,1571","0,204"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Caminhão-trator,"0,1857","0,2862"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2571","0,6028"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Caminhão-trator,"0,3857","0,8255"
Sem Vítimas,Plena Noite,Chuva,Reta,Caminhão-trator,"0,3","0,6353"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2714","0,5784"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,1429","0,6238"
Com Vítimas Feridas,Amanhecer,Sol,Reta,Caminhão,"0,4429","0,5787"
