inst#,actual,predicted,error
1,0.903,0.492,-0.411
2,0.62,0.451,-0.168
3,0.63,0.304,-0.326
4,0.672,0.437,-0.235
5,0.654,0.696,0.041
6,0.483,0.388,-0.095
7,0.636,0.507,-0.129
8,0.591,0.49,-0.101
9,0.265,0.331,0.065
10,0.265,0.283,0.018
11,0.612,0.503,-0.109
12,0.654,0.459,-0.195
13,0.618,0.533,-0.085
14,0.175,0.442,0.267
15,0.615,0.555,-0.059
16,0.148,0.494,0.345
17,0.597,0.453,-0.144
18,0.742,0.543,-0.199
19,0.605,0.504,-0.101
20,0.076,0.453,0.377
21,0.654,0.598,-0.057
22,0.541,0.506,-0.035
23,0.169,0.587,0.418
24,0.609,0.49,-0.119
25,0.63,0.613,-0.017
26,0.073,0.157,0.084
27,0.654,0.599,-0.055
28,0.621,0.466,-0.154
29,0.357,0.508,0.151
30,0.108,0.289,0.181
31,0.78,0.536,-0.244
32,0.804,0.736,-0.068
33,0.621,0.532,-0.088
34,0.729,0.686,-0.043
35,0.507,0.33,-0.177
36,0.2,0.459,0.26
37,0.293,0.532,0.239
38,0.212,0.49,0.278
39,0.92,0.527,-0.393
40,0.087,0.498,0.411
41,0.609,0.299,-0.31
42,0.964,0.541,-0.423
43,0.78,0.538,-0.241
44,0.919,0.94,0.021
45,0.136,0.466,0.33
46,0.215,0.112,-0.103
47,0.92,0.527,-0.393
48,0.509,0.538,0.028
49,0.611,0.516,-0.095
50,0.344,0.375,0.031
51,0.615,0.527,-0.087
52,0.308,0.454,0.146
53,0.621,0.492,-0.129
54,0.127,0.215,0.088
55,0.621,0.5,-0.121
56,0.627,0.511,-0.116
57,0.654,0.52,-0.134
58,0.54,0.512,-0.028
59,0.624,0.445,-0.178
60,0.154,0.487,0.333
61,0.308,0.152,-0.156
62,0.618,0.502,-0.116
63,0.176,0.469,0.293
64,0.293,0.356,0.063
65,0.377,0.26,-0.118
66,0.847,0.635,-0.212
67,0.087,0.443,0.356
68,0.813,0.491,-0.322
69,0.571,0.509,-0.062
70,0.723,0.423,-0.3
71,0.112,0.5,0.388
72,0.618,0.507,-0.111
73,0.603,0.538,-0.065
74,0.176,0.501,0.325
75,0.281,0.234,-0.047
76,0.546,0.494,-0.051
77,0.014,0.491,0.477
78,0.281,0.335,0.054
79,0.122,0.289,0.167
80,0.293,0.361,0.068
81,0.75,0.434,-0.317
82,0.967,0.516,-0.45
83,0.804,0.499,-0.306
84,0.157,0.079,-0.078
85,0.178,0.502,0.324
86,0.597,0.52,-0.077
87,0.597,0.509,-0.088
88,0.617,0.54,-0.077
89,0.826,0.471,-0.354
90,0.581,0.529,-0.053
91,0.464,0.472,0.008
92,0.182,0.532,0.35
93,0.63,0.613,-0.017
94,0.148,0.44,0.291
95,0.518,0.496,-0.023
96,0.654,0.559,-0.095
97,0.464,0.419,-0.046
98,0.596,0.478,-0.117
99,0.124,0.284,0.16
100,0.152,0.145,-0.007
101,0.627,0.537,-0.09
102,0.877,0.484,-0.392
103,0.549,0.489,-0.061
104,0.594,0.51,-0.084
105,0.615,0.451,-0.164
106,0.819,0.7,-0.12
