@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[1.0],0.7,0.8,0.9,0.9,0.0857,0.6112
[1.0],0.9,0.8,0.8,0.9,0.2429,0.1544
[1.0],0.5,0.8,0.5,0.7,0.5857,0.1664
[1.0],0.7,0.8,0.8,0.9,0.2571,0.0731
[1.0],0.7,0.8,0.8,0.9,0.2,0.0731
[1.0],0.9,0.8,0.8,0.7,0.5571,0.6329
[1.0],0.9,0.8,0.8,0.9,0.1571,0.6329
[1.0],0.9,0.8,0.8,0.9,0.6571,0.6329
[1.0],0.9,0.9,0.8,0.7,0.7143,0.8586
[1.0],0.9,0.8,0.8,0.9,0.2143,0.5636
[1.0],0.7,0.7,0.9,0.7,0.1,0.4132
[1.0],0.7,0.7,0.9,0.7,0.2,0.4132
[1.0],0.3,0.7,0.8,0.7,0.4429,0.5943
[1.0],0.3,0.7,0.8,0.7,0.0571,0.5943
[1.0],0.3,0.7,0.8,0.7,0.3286,0.5943
[1.0],0.3,0.7,0.8,0.7,0.3143,0.5943
[1.0],0.3,0.7,0.8,0.7,0.2143,0.5943
[1.0],0.3,0.7,0.8,0.7,0.2571,0.5943
[1.0],0.3,0.7,0.8,0.7,0.1,0.5943
[1.0],0.3,0.7,0.8,0.7,0.1143,0.5943
[1.0],0.9,0.7,0.8,0.9,0.2429,0.5847
[1.0],0.9,0.7,0.8,0.9,0.2143,0.5847
[1.0],0.5,0.8,0.8,0.7,0.5,0.6274
[1.0],0.5,0.8,0.8,0.9,0.2857,0.6274
[1.0],0.5,0.8,0.8,0.9,0.2429,0.6274
[1.1],0.7,0.8,0.8,0.7,0.1857,0.1724
[1.1],0.7,0.8,0.8,0.7,0.5429,0.1724
[1.0],0.7,0.8,0.9,0.7,0.1857,0.2236
[1.0],0.7,0.8,0.9,0.7,0.5571,0.2236
[1.0],0.7,0.8,0.9,0.7,0.8143,0.2236
[1.0],0.7,0.8,0.9,0.7,0.1857,0.2236
[1.0],0.7,0.8,0.9,0.7,0.5714,0.2236
[1.1],0.9,0.8,0.8,0.7,0.8857,0.9789
[1.0],0.9,0.8,0.8,0.9,0.1,0.5865
[1.0],0.9,0.8,0.7,0.7,0.7857,0.3157
[1.0],0.9,0.8,0.7,0.9,0.4714,0.3157
[1.0],0.9,0.8,0.7,0.9,0.3857,0.3157
[1.0],0.9,0.8,0.8,0.9,0.5857,0.6208
[1.0],0.7,0.8,0.8,0.7,0.6571,0.7487
[0.0],0.9,0.8,0.2,0.7,0.5143,0.6199
[1.0],0.9,0.8,0.8,0.7,0.3857,0.6419
[1.0],0.9,0.8,0.8,0.7,0.3857,0.6419
[1.0],0.9,0.8,0.8,0.9,0.2429,0.6419
[1.0],0.9,0.8,0.8,0.7,0.2857,0.4794
[1.0],0.9,0.8,0.9,0.7,0.1857,0.7006
[1.0],0.9,0.8,0.8,0.7,0.5143,0.5396
[1.0],0.9,0.8,0.8,0.7,0.0143,0.5396
[1.0],0.9,0.8,0.8,0.7,0.4571,0.5396
[1.0],0.9,0.8,0.8,0.7,0.6714,0.6136
[1.0],0.9,0.8,0.8,0.9,0.2857,0.6136
[1.0],0.7,0.8,0.8,0.7,0.2571,0.8525
[1.0],0.7,0.8,0.8,0.7,0.3571,0.8525
[0.0],0.9,0.8,0.8,0.7,0.0429,0.5952
[1.0],0.7,0.8,0.8,0.7,0.0714,0.1393
[1.0],0.7,0.8,0.8,0.7,0.1286,0.1393
[1.0],0.9,0.8,0.8,0.7,0.5143,0.666
[1.0],0.9,0.8,0.8,0.7,0.2286,0.666
[1.0],0.9,0.8,0.8,0.7,0.1571,0.666
[1.0],0.9,0.8,0.8,0.9,0.5857,0.6148
[1.0],0.7,0.8,0.8,0.7,0.0857,0.5727
[1.0],0.5,0.8,0.2,0.7,0.1571,0.5667
[1.0],0.9,0.7,0.8,0.7,0.3429,0.2898
[1.0],0.9,0.7,0.8,0.7,0.2714,0.2898
[1.0],0.9,0.7,0.9,0.9,0.6571,0.5998
[1.0],0.9,0.8,0.8,0.7,0.1429,0.1297
[1.0],0.9,0.8,0.8,0.7,0.0714,0.1297
[1.0],0.9,0.8,0.8,0.7,0.1286,0.1297
[1.0],0.9,0.8,0.8,0.7,0.1429,0.1297
[1.0],0.9,0.8,0.8,0.7,0.0857,0.1297
[0.0],0.9,0.8,0.8,0.7,0.4429,0.2046
[0.0],0.9,0.8,0.8,0.7,0.2286,0.2046
[0.0],0.9,0.8,0.8,0.7,0.2143,0.2046
[1.0],0.7,0.8,0.8,0.9,0.1143,0.6199
[1.0],0.7,0.8,0.8,0.9,0.2571,0.6199
[1.0],0.7,0.8,0.9,0.9,0.0857,0.6148
[1.0],0.7,0.8,0.9,0.9,0.0571,0.6148
[1.0],0.9,0.8,0.8,0.7,0.7,0.5113
