@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[1.0],0.9,0.8,0.9,0.7,0.3571,0.6148
[1.0],0.7,0.8,0.8,0.7,0.3,0.6208
[1.0],0.7,0.8,0.9,0.7,0.1429,0.9669
[1.0],0.7,0.8,0.9,0.7,0.1429,0.9669
[0.0],0.9,0.8,0.8,0.7,0.4286,0.678
[0.0],0.9,0.8,0.8,0.7,0.4571,0.678
[0.0],0.9,0.8,0.8,0.7,0.3857,0.678
[1.0],0.3,0.7,0.8,0.7,0.2,0.672
[1.0],0.3,0.7,0.8,0.7,0.3143,0.672
[1.0],0.3,0.7,0.8,0.7,0.2714,0.672
[1.0],0.9,0.8,0.8,0.7,0.5429,0.9187
[1.0],0.9,0.8,0.8,0.9,0.0286,0.0009
[1.0],0.9,0.8,0.8,0.9,0.0571,0.0009
[1.0],0.9,0.8,0.6,0.7,0.5143,0.6103
[1.0],0.7,0.8,0.8,0.9,0.1857,0.5998
[1.0],0.9,0.8,0.6,0.7,0.4429,0.1691
[1.0],0.9,0.8,0.6,0.7,0,0.1691
[1.0],0.9,0.8,0.6,0.7,0.3286,0.1691
[1.0],0.9,0.8,0.6,0.7,0,0.1691
[1.0],0.7,0.8,0.8,0.9,0.0429,0.5772
[1.0],0.7,0.8,0.8,0.9,0.4714,0.5772
[1.0],0.9,0.8,0.9,0.9,0.1286,0.7352
[1.0],0.7,0.8,0.8,0.7,0.3429,0.7939
[0.0],0.9,0.8,0.8,0.7,0.6,0
[1.0],0.9,0.8,0.8,0.7,0.8429,0.6178
[1.0],0.9,0.8,0.8,0.7,0.5857,0.6178
[0.0],0.9,0.8,0.8,0.7,0.4286,0.6193
[1.0],0.7,0.8,0.5,0.7,0.1714,0.1222
[1.0],0.7,0.8,0.5,0.7,0.2143,0.1222
[1.0],0.5,0.8,0.9,0.7,0.2,0.5068
[1.0],0.5,0.8,0.9,0.7,0.1,0.5068
[1.0],0.5,0.8,0.9,0.7,0.0714,0.5068
[1.0],0.5,0.8,0.9,0.7,0.0857,0.5068
[1.0],0.9,0.5,0.8,0.9,0.2571,0.6052
[1.0],0.9,0.5,0.8,0.7,0.4286,0.6184
[1.0],0.9,0.5,0.8,0.9,0.1143,0.6184
[1.0],0.9,0.8,0.8,0.7,0.2,0.5456
[1.0],0.3,0.8,0.8,0.7,0.0714,0.9037
[0.0],0.9,0.8,0.8,0.7,0.1286,0.6139
[0.0],0.9,0.8,0.8,0.7,0.1571,0.6139
[0.0],0.9,0.8,0.8,0.7,0.1857,0.6139
[1.0],0.7,0.8,0.9,0.7,0.4429,0.2778
[1.0],0.7,0.8,0.9,0.7,0.7714,0.2778
[1.0],0.9,0.8,0.8,0.9,0.1429,0.6145
[0.0],0.7,0.8,0.4,0.7,0.1429,0.6299
[0.0],0.7,0.8,0.4,0.7,0.1143,0.6299
[1.0],0.7,0.8,0.6,0.7,0.1429,0.5998
[1.0],0.7,0.8,0.6,0.9,0.0429,0.5998
[0.0],0.9,0.8,0.8,0.7,0.3714,0.6049
[0.0],0.9,0.8,0.8,0.7,0.2429,0.6049
[1.0],0.9,0.8,0.8,0.7,0.5857,0.8796
[1.0],0.9,0.8,0.8,0.7,0.7,0.8796
[1.0],0.9,0.8,0.8,0.9,0.5714,0.6118
[1.0],0.9,0.8,0.8,0.7,0.6429,0.6118
[1.0],0.5,0.8,0.9,0.7,0.4429,0.675
[1.0],0.5,0.8,0.9,0.7,0.4286,0.675
[1.0],0.9,0.8,0.8,0.9,0.3571,0.5095
[1.0],0.9,0.8,0.7,0.7,0.4714,0.1962
[1.0],0.9,0.8,0.7,0.9,0.1143,0.1962
[1.0],0.5,0.4,0.8,0.7,0.4571,0.5787
[1.0],0.5,0.4,0.8,0.7,0.3429,0.5787
[1.0],0.5,0.4,0.8,0.5,0.3714,0.5787
[0.0],0.9,0.7,0.8,0.7,0.4857,0.6055
[0.0],0.9,0.7,0.8,0.7,0.3143,0.6055
[0.0],0.9,0.7,0.8,0.7,0.1,0.6055
[0.0],0.9,0.7,0.8,0.7,0.4571,0.6055
[1.0],0.9,0.5,0.8,0.9,0.3429,0.6025
[1.0],0.9,0.8,0.8,0.9,0.0714,0.5814
[1.0],0.9,0.8,0.8,0.9,0.0286,0.6058
[1.0],0.9,0.8,0.8,0.7,0.4857,0.6058
[0.0],0.7,0.8,0.8,0.7,0.1429,0.5916
[0.0],0.7,0.8,0.8,0.7,0.0286,0.5916
[0.0],0.7,0.8,0.8,0.7,0.1857,0.5916
[0.0],0.7,0.8,0.8,0.7,0.3714,0.5916
[0.0],0.7,0.8,0.8,0.7,0.0429,0.5916
[0.0],0.7,0.8,0.8,0.7,0.3429,0.5916
[1.0],0.9,0.5,0.8,0.7,0.1714,0.5606
[1.0],0.9,0.5,0.8,0.7,0.8857,0.5606
[1.0],0.9,0.5,0.8,0.7,0.6,0.5606
[0.0],0.9,0.8,0.9,0.7,0.6429,0.028
[0.0],0.9,0.8,0.9,0.7,0.1429,0.028
[0.0],0.9,0.8,0.9,0.7,0.4571,0.028
[0.0],0.9,0.8,0.8,0.7,0.5429,0.046
[0.0],0.7,0.8,0.8,0.7,0.2571,0.0641
[0.0],0.7,0.8,0.8,0.7,0.0143,0.0641
[1.0],0.7,0.8,0.8,0.7,0.6714,0.3771
[1.0],0.7,0.8,0.8,0.7,0.3,0.8977
[1.0],0.7,0.8,0.8,0.7,0.5429,0.8977
[1.0],0.9,0.8,0.8,0.7,0.4714,0.5787
[1.0],0.7,0.8,0.8,0.7,0.3,0.7653
[1.0],0.7,0.8,0.8,0.7,0.1429,0.7653
[1.0],0.9,0.8,0.8,0.9,0.6,0.6178
[1.0],0.9,0.8,0.8,0.7,0.4714,0.6178
[1.0],0.9,0.8,0.8,0.7,0.5286,0.5787
[1.0],0.9,0.8,0.8,0.7,0.5571,0.5787
[1.0],0.9,0.8,0.8,0.7,0.8429,0.5787
[1.1],0.3,0.8,0.8,0.7,0.4857,0.1237
[1.1],0.3,0.8,0.8,0.7,0.5286,0.1237
[1.1],0.3,0.8,0.8,0.7,0.1571,0.1237
[1.1],0.3,0.8,0.8,0.7,0.1429,0.1237
[1.1],0.3,0.8,0.8,0.7,0.1857,0.1237
[1.1],0.3,0.8,0.8,0.7,0.2714,0.1237
[1.1],0.3,0.8,0.8,0.7,0.3857,0.1237
[1.1],0.3,0.8,0.8,0.7,0.4143,0.1237
[0.0],0.7,0.8,0.8,0.7,0.5857,0.6599
[0.0],0.7,0.8,0.8,0.7,0.1714,0.6599
[0.0],0.7,0.8,0.8,0.7,0.5571,0.6599
[0.0],0.7,0.8,0.8,0.7,0.6429,0.6599
[0.0],0.7,0.8,0.8,0.7,0.6857,0.6599
[1.0],0.7,0,0.8,0.7,0.1429,0.3079
[1.0],0.7,0,0.8,0.7,0.1143,0.3079
[1.0],0.7,0,0.8,0.7,0.1,0.3079
[1.0],0.7,0,0.8,0.7,0.0429,0.3079
[1.0],0.7,0,0.8,0.7,0.3,0.3079
[0.0],0.9,0.8,0.9,0.7,0.7143,0.675
[0.0],0.9,0.8,0.5,0.7,0.1286,0.1484
[0.0],0.9,0.8,0.5,0.7,0.9143,0.1484
[0.0],0.5,0.8,0.8,0.7,0.4429,0.043
[0.0],0.5,0.8,0.8,0.7,0.7,0.043
[0.0],0.5,0.8,0.8,0.7,0.3857,0.043
[1.0],0.9,0.8,0.6,0.9,0.1143,0.5998
[0.0],0.9,0.8,0.8,0.5,0.5,0.5998
[0.0],0.9,0.8,0.8,0.7,0.6143,0.5998
[1.0],0.9,0.8,0.7,0.9,0.1714,0.6359
[1.0],0.3,0.8,0.8,0.9,0.1429,0.5787
[1.0],0.3,0.8,0.8,0.7,0.6,0.5787
[1.0],0.7,0.8,0.8,0.7,0.2571,0.675
[1.0],0.7,0.8,0.8,0.7,0.1571,0.4523
[1.0],0.7,0.8,0.8,0.7,0.4,0.4523
[1.0],0.7,0.8,0.8,0.7,0.4143,0.4523
[1.0],0.7,0.8,0.8,0.7,0.3286,0.4523
[1.0],0.9,0.8,0.8,0.7,0.3429,0.2868
[1.0],0.9,0.8,0.8,0.7,0.3429,0.2868
[1.0],0.9,0.8,0.8,0.7,0.2571,0.2868
[1.0],0.9,0.8,0.8,0.7,0.3571,0.2868
[1.0],0.7,0.3,0.5,0.9,0.4286,0.6154
[1.0],0.7,0.3,0.5,0.9,0.3,0.6154
[1.0],0.7,0.8,0.8,0.5,0.2857,0.6238
[1.0],0.3,0.7,0.9,0.9,0.4,0.5829
[1.0],0.3,0.7,0.8,0.7,0.4143,0.6106
[1.0],0.3,0.7,0.8,0.7,0.2714,0.6106
[1.0],0.3,0.7,0.8,0.7,0.5429,0.6106
[1.0],0.3,0.7,0.8,0.7,0.5429,0.6106
[1.0],0.9,0.8,0.8,0.7,0.5286,0.7617
[1.0],0.9,0.8,0.8,0.7,0.4429,0.7617
[1.0],0.9,0.8,0.8,0.9,0.0571,0.6088
[1.0],0.9,0.8,0.8,0.9,0.0714,0.6088
[1.0],0.9,0.8,0.8,0.7,0.3571,0.6088
[1.0],0.9,0.8,0.8,0.7,0.5571,0.6088
[1.0],0.9,0.8,0.8,0.7,0.1571,0.6088
[1.0],0.9,0.8,0.8,0.9,0.3143,0.6088
[1.0],0.9,0.5,0.8,0.7,0.3,0.5998
[1.0],0.9,0.5,0.8,0.7,0.2143,0.5998
[1.0],0.9,0.5,0.8,0.7,0.6571,0.7045
[0.0],0.9,0.5,0.8,0.7,0.6,0.8044
[0.0],0.9,0.5,0.8,0.7,0.4143,0.8044
[0.0],0.9,0.5,0.8,0.7,0.0857,0.152
[0.0],0.9,0.5,0.8,0.7,0.5714,0.152
[0.0],0.9,0.5,0.8,0.7,0.1857,0.152
[0.0],0.9,0.5,0.8,0.7,0.6714,0.152
[0.0],0.9,0.5,0.8,0.7,0.6429,0.152
[1.0],0.9,0.8,0.8,0.9,0.1286,0.6208
[0.0],0.9,0.8,0.2,0.7,0.1714,0.5712
[0.0],0.9,0.8,0.2,0.7,0.3571,0.5712
[1.0],0.3,0.8,0.8,0.9,0.7571,0.2943
[1.0],0.9,0.5,0.6,0.9,0.0571,0.6013
[0.0],0.9,0.8,0.8,0.7,0.4857,0.6539
[0.0],0.9,0.8,0.8,0.7,0.5,0.6539
[1.0],0.5,0.8,0.5,0.9,0.0714,0.9994
[1.0],0.9,0.8,0.8,0.7,0.8,0.6479
[1.0],0.9,0.8,0.8,0.9,0.5286,0.0695
[1.0],0.9,0.8,0.8,0.7,0.4429,0.6545
[1.0],0.9,0.8,0.8,0.7,0.0714,0.6545
[1.0],0.9,0.8,0.8,0.7,0.5143,0.2206
[1.0],0.9,0.8,0.8,0.7,0.1,0.2206
[1.0],0.9,0.8,0.8,0.7,0.7143,0.74
[1.0],0.9,0.8,0.8,0.7,0.2286,0.74
[1.0],0.9,0.8,0.8,0.7,0.4714,0.74
[1.0],0.9,0.8,0.8,0.9,0.2143,0.6088
[1.0],0.7,0.8,0.8,0.7,0.3286,0.6028
[1.0],0.7,0.8,0.8,0.7,0.4286,0.6028
[1.0],0.7,0.8,0.8,0.7,0.3143,0.6028
[1.0],0.9,0.5,0.8,0.7,0.2,0.2191
[1.0],0.9,0.8,0.8,0.7,0.0429,0.5757
[1.0],0.9,0.8,0.8,0.7,0.0429,0.5757
[1.0],0.9,0.8,0.8,0.7,0.1429,0.5757
[1.0],0.9,0.8,0.8,0.7,0.1857,0.5757
[1.0],0.9,0.8,0.9,0.9,0.0286,0.6148
[1.0],0.9,0.8,0.9,0.9,0.5714,0.6148
[1.0],0.9,0.5,0.8,0.7,0.5,0.9428
[1.0],0.9,0.8,0.9,0.7,0.3,0.1869
[1.0],0.9,0.8,0.8,0.7,0.1429,0.8255
[1.0],0.9,0.8,0.8,0.7,0.3143,0.8255
[1.0],0.7,0.8,0.8,0.7,0.3571,0.6299
[1.0],0.9,0.8,0.8,0.7,0.4714,0.6148
[1.0],0.9,0.8,0.8,0.7,0.7571,0.6148
[0.0],0.9,0.9,0.8,0.7,0.1571,0.9187
[1.0],0.3,0.9,0.8,0.7,0.3143,0.6765
[1.0],0.9,0.7,0.8,0.7,0.5143,0.5387
[1.0],0.9,0.8,0.2,0.7,0.1857,0.5727
[1.0],0.9,0.8,0.2,0.9,0.1857,0.5727
[1.0],0.7,0.8,0.7,0.9,0.4857,0.5727
[0.0],0.5,0.8,0.9,0.7,0.3143,0.0605
[0.0],0.3,0.8,0.8,0.7,0.3286,0.5757
[0.0],0.3,0.8,0.8,0.7,0.1143,0.5757
[0.0],0.3,0.8,0.8,0.7,0.1857,0.5757
[1.0],0.7,0.8,0.8,0.7,0.0286,0.1484
[1.0],0.7,0.8,0.8,0.7,0.3429,0.1484
[1.0],0.7,0.8,0.8,0.7,0.2857,0.1484
[1.0],0.9,0.8,0.8,0.7,0.2429,0.2507
[1.0],0.9,0.8,0.8,0.7,0.4,0.2507
[1.0],0.9,0.8,0.8,0.7,0.2143,0.2507
[1.0],0.9,0.8,0.8,0.7,0.1857,0.2507
[1.0],0.9,0.8,0.8,0.7,0.1429,0.2507
[1.0],0.9,0.8,0.8,0.7,0.1286,0.2507
[1.0],0.9,0.8,0.8,0.7,0.1,0.2507
[1.0],0.9,0.8,0.8,0.7,0.1857,0.2507
[1.0],0.9,0.8,0.5,0.7,0.5286,0.6151
[1.0],0.9,0.8,0.5,0.9,0.0429,0.6151
[1.0],0.9,0.8,0.5,0.7,0.6857,0.6151
[1.0],0.9,0.8,0.2,0.9,0.2,0.5727
[1.0],0.3,0.8,0.8,0.9,0.1,0.6184
[1.0],0.9,0.8,0.8,0.7,0.7429,0.5817
[1.0],0.9,0.8,0.8,0.7,0.6429,0.5817
[1.0],0.9,0.8,0.8,0.9,0.1857,0.5817
[1.0],0.7,0.8,0.9,0.7,0.1,0.6052
[1.0],0.7,0.8,0.9,0.7,0.2857,0.6052
[1.0],0.7,0.8,0.9,0.7,0.1143,0.6052
[1.0],0.9,0.8,0.5,0.9,0.2286,0.6539
[1.0],0.7,0.8,0.4,0.7,0.4714,0.7893
[1.1],0.9,0.8,0.8,0.7,0.1429,0.1261
[0.0],0.9,0.5,0.8,0.7,0.5571,0.6569
[0.0],0.9,0.5,0.8,0.7,0.6143,0.1243
[0.0],0.9,0.5,0.8,0.7,0.2857,0.1243
[1.0],0.9,0.8,0.5,0.7,0.5286,0.6545
[1.0],0.3,0.7,0.8,0.7,0.0857,0.6193
[1.0],0.3,0.7,0.8,0.9,0.3714,0.6193
[0.0],0.3,0.8,0.8,0.7,0.2571,0.6145
[0.0],0.9,0.8,0.8,0.7,0.3,0.6314
[1.0],0.7,0.8,0.8,0.7,0.4571,0.9031
[1.0],0.7,0.8,0.8,0.7,0.6,0.9031
[1.0],0.7,0.3,0.4,0.7,0.1714,0.6479
[1.0],0.9,0.7,0.8,0.7,0.0857,0.7532
[1.0],0.9,0.7,0.8,0.7,0.0714,0.7532
[1.0],0.3,0.8,0.9,0.7,0.5429,0.6208
[1.0],0.3,0.8,0.9,0.7,0.5429,0.6208
[0.0],0.9,0.5,0.2,0.5,0.0857,0.5636
[0.0],0.9,0.5,0.2,0.5,0.1286,0.5636
[1.0],0.7,0.8,0.8,0.7,0.5857,0.5185
[1.0],0.7,0.8,0.8,0.7,0.3143,0.5185
[1.0],0.7,0.8,0.8,0.7,0.6429,0.7442
[1.0],0.7,0.8,0.8,0.7,0.4429,0.7442
[1.0],0.7,0.9,0.8,0.7,0.7143,0.4342
[1.0],0.7,0.9,0.9,0.7,0.5143,0.6268
[1.0],0.7,0.9,0.9,0.7,0.9143,0.6268
[1.0],0.7,0.9,0.9,0.7,0.6429,0.6268
[1.0],0.9,0.8,0.8,0.9,0.1571,0.5667
[1.0],0.7,0.9,0.8,0.7,0.2,0.6148
[1.0],0.7,0.9,0.8,0.7,0.5,0.6148
[1.0],0.7,0.9,0.8,0.7,0.2143,0.6148
[0.0],0.7,0.9,0.9,0.7,0.0714,0.6265
[1.0],0.9,0.9,0.8,0.7,0.3143,0.6028
[1.0],0.9,0.9,0.8,0.7,0.3429,0.672
[1.0],0.9,0.8,0.7,0.9,0.1,0.6091
[1.0],0.5,0.7,0.8,0.7,0.2429,0.9774
[1.0],0.9,0.7,0.8,0.7,0.5143,0.8044
[1.0],0.9,0.7,0.8,0.7,0.8143,0.8044
[1.0],0.9,0.7,0.8,0.7,0.7714,0.8044
[1.1],0.9,0.8,0.8,0.7,0.8714,0.2708
[1.1],0.9,0.8,0.8,0.7,0.4571,0.2708
[1.1],0.9,0.8,0.8,0.7,0.4571,0.2708
[1.0],0.9,0.9,0.8,0.7,0.2571,0.8014
[1.0],0.7,0.8,0.8,0.7,0.1857,0.5748
[1.0],0.7,0.8,0.8,0.7,0.2429,0.5748
[1.1],0.7,0.8,0.9,0.7,0.6714,0.5486
[1.0],0.9,0.8,0.8,0.7,0.0286,0.6028
[1.0],0.9,0.8,0.8,0.7,0.3571,0.6028
[1.0],0.9,0.8,0.2,0.7,0.1286,0.6178
[1.0],0.9,0.8,0.2,0.7,0.1571,0.6178
[1.0],0.9,0.8,0.2,0.7,0.4286,0.6178
[1.0],0.9,0.8,0.2,0.7,0.0571,0.6178
[1.0],0.9,0.9,0.8,0.7,0.1143,0.6599
[0.0],0.9,0.8,0.9,0.9,0.0714,0.6296
[1.1],0.9,0.5,0.8,0.5,0.3571,0.2146
[1.1],0.9,0.5,0.8,0.5,0.2571,0.2146
[1.1],0.9,0.5,0.8,0.5,0.7286,0.2146
[1.1],0.9,0.5,0.8,0.5,0.2714,0.2146
[0.0],0.9,0.5,0.8,0.7,0.1857,0.6178
[0.0],0.9,0.5,0.8,0.7,0.2571,0.6178
[0.0],0.9,0.5,0.8,0.7,0.3571,0.6178
[0.0],0.9,0.8,0.8,0.7,0.1143,0.0761
[0.0],0.9,0.8,0.8,0.7,0.3143,0.0761
[0.0],0.9,0.8,0.8,0.7,0.6429,0.0761
[0.0],0.9,0.8,0.8,0.7,0.3714,0.0761
[0.0],0.9,0.8,0.8,0.7,0.9714,0.0761
[0.0],0.9,0.8,0.8,0.7,0.1286,0.0761
[1.0],0.9,0.8,0.8,0.7,0.1714,0.176
[1.0],0.9,0.8,0.8,0.7,0.6571,0.176
[1.0],0.9,0.8,0.8,0.7,0.0857,0.176
[1.0],0.9,0.8,0.8,0.7,0.2714,0.176
[1.0],0.9,0.8,0.8,0.7,0.7714,0.176
[1.0],0.9,0.9,0.8,0.7,0.5429,0.675
[1.0],0.7,0.7,0.9,0.7,0.3143,0.6028
[1.0],0.7,0.7,0.8,0.7,0.5571,0.3085
[1.0],0.7,0.7,0.8,0.7,0.3,0.3085
[1.0],0.5,0.9,0.7,0.7,0.3714,0.3163
[1.1],0.7,0.8,0.8,0.7,0.2,0.3048
[1.1],0.7,0.8,0.8,0.7,0.3143,0.3048
[1.0],0.9,0.5,0.9,0.7,0.6,0.4487
[1.0],0.9,0.5,0.9,0.7,0.3286,0.4487
[1.0],0.9,0.5,0.9,0.7,0.5429,0.4487
[1.0],0.9,0.5,0.9,0.7,0.9286,0.4487
[1.0],0.9,0.9,0.9,0.7,0.4,0.7593
[1.0],0.7,0.9,0.8,0.7,0.1,0.6148
[0.0],0.9,0.9,0.8,0.7,0.1143,0.5757
[1.0],0.5,0.7,0.8,0.7,0.4571,0.7292
[1.0],0.5,0.7,0.8,0.7,0.7857,0.7292
[1.0],0.5,0.7,0.8,0.7,0.1429,0.7292
[0.0],0.9,0.7,0.8,0.7,0.1714,0.6329
[0.0],0.9,0.7,0.8,0.7,0.5857,0.6329
[1.0],0.9,0.9,0.9,0.7,0.6429,0.985
[1.0],0.9,0.9,0.9,0.7,0.7,0.985
[1.0],0.9,0.7,0.7,0.9,0.6857,0.4734
[1.0],0.7,0.9,0.8,0.7,0.1429,0.6088
[1.0],0.9,0.9,0.8,0.7,0.3571,0.2748
[1.0],0.9,0.9,0.8,0.7,0.2714,0.2748
[1.0],0.9,0.5,0.8,0.7,0.3429,0.5937
[1.0],0.7,0.6,0.8,0.7,0.6429,0.6479
[1.1],0.9,0.7,0.8,0.7,0.1571,0.3711
[1.1],0.9,0.7,0.8,0.7,0.2,0.3711
[1.1],0.9,0.7,0.8,0.7,0.6429,0.3711
[1.0],0.7,0.8,0.8,0.7,0.5571,0.6178
[1.0],0.7,0.8,0.8,0.7,0.1857,0.6178
[1.0],0.7,0.8,0.8,0.7,0.1571,0.6178
[1.0],0.7,0.8,0.8,0.7,0.3714,0.6178
[1.0],0.9,0.9,0.8,0.9,0.2714,0.6163
[1.0],0.9,0.9,0.8,0.7,0.2429,0.6163
[1.0],0.7,0.9,0.8,0.7,0.5286,0.672
[1.0],0.9,0.9,0.8,0.5,0.2286,0.6148
[1.0],0.9,0.9,0.8,0.9,0.4143,0.6148
[1.0],0.9,0.7,0.8,0.9,0.1857,0.6178
[1.0],0.9,0.7,0.8,0.7,0.3857,0.6178
[0.0],0.7,0.9,0.8,0.7,0.3,0.9007
[1.0],0.7,0.8,0.9,0.9,0.1286,0.6028
[1.0],0.9,0.8,0.8,0.7,0.2714,0.8077
[1.0],0.9,0.8,0.8,0.7,0.4286,0.8077
[1.0],0.9,0.8,0.8,0.7,0.4429,0.8077
[1.0],0.9,0.7,0.9,0.7,0.4714,0.8014
[1.0],0.7,0.9,0.8,0.7,0.3,0.678
[1.0],0.7,0.6,0.7,0.7,0.2,0.0346
[1.0],0.7,0.6,0.7,0.7,0.3857,0.0346
[1.0],0.7,0.6,0.7,0.7,0.0714,0.0346
[1.0],0.7,0.6,0.7,0.7,0.1286,0.0346
[1.0],0.7,0.6,0.7,0.7,0.1857,0.0346
[0.0],0.9,0.7,0.7,0.7,0.0714,0.6208
[0.0],0.9,0.7,0.7,0.7,0.2571,0.6208
[0.0],0.9,0.7,0.7,0.7,0.1857,0.6208
[1.1],0.5,0.7,0.8,0.7,0.2143,0.1243
[1.1],0.5,0,0.9,0.9,0.0857,0.5188
[1.0],0.9,0.8,0.8,0.7,0.2286,0.1484
[1.0],0.9,0.7,0.8,0.7,0.5,0.0159
[1.0],0.3,0.8,0.8,0.9,0.0429,0.5787
[1.0],0.3,0.8,0.8,0.9,0.0429,0.5787
