@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P5.0-V

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[0.0],0.9,0.8,0.8,0.7,0.1571,0.5787
[1.0],0.5,0.8,0.8,0.5,0.2571,0.3891
[0.0],0.7,0.8,0.9,0.5,0.5,0.5555
[1.0],0.9,0.9,0.9,0.7,0.2571,0.0791
[1.0],0.9,0.5,0.8,0.7,0.3,0.5998
[1.1],0.9,0.8,0.8,0.9,0.3286,0.4598
[1.0],0.9,0.5,0.7,0.7,0.4429,0.3085
[1.0],0.7,0.8,0.8,0.5,0.6143,0.5727
[1.0],0.9,0.7,0.9,0.7,0.4714,0.8014
[0.0],0.9,0.5,0.2,0.5,0.0857,0.5636
[1.0],0.9,0.8,0.8,0.7,0.7571,0.0069
[1.0],0.7,0.8,0.8,0.7,0.5714,0.1785
[0.0],0.3,0.8,0.8,0.7,0.1857,0.5757
[1.0],0.9,0.7,0.8,0.7,0.6429,0.6175
[1.0],0.9,0.8,0.7,0.7,0.7857,0.3157
[0.0],0.9,0.7,0.8,0.7,0.1,0.6055
[1.0],0.7,0.3,0.5,0.9,0.3,0.6154
[1.0],0.9,0.5,0.8,0.7,0.2143,0.5998
[1.0],0.9,0.7,0.8,0.7,0.8143,0.8044
[1.0],0.3,0.8,0.8,0.9,0.7571,0.2943
[0.0],0.9,0.8,0.8,0.7,0.6857,0.8128
[1.0],0.9,0.8,0.8,0.7,0.2,0.5456
[1.0],0.9,0.8,0.6,0.5,0.3286,0.8044
[1.0],0.9,0.5,0.8,0.5,0.3143,0.6419
[0.0],0.5,0.8,0.8,0.7,0.7,0.043
[0.0],0.9,0.5,0.8,0.7,0.6429,0.152
[1.0],0.9,0.7,0.8,0.9,0.2,0.5877
[1.1],0.3,0.9,0.8,0.7,0.1286,0.7653
[1.0],0.9,0.8,0.8,0.7,0.5143,0.2206
[1.0],0.9,0.8,0.8,0.7,0.1429,0.6509
[1.0],0.9,0.8,0.8,0.7,0.3714,0.5516
[1.0],0.9,0.9,0.9,0.7,0.2,0.5847
[1.0],0.5,0.8,0.9,0.7,0.4429,0.675
[1.0],0.7,0.3,0.6,0.9,0.3857,0.5727
[1.0],0.7,0.8,0.8,0.7,0.1571,0.1785
[1.0],0.7,0.7,0.9,0.7,0.1,0.4132
[1.0],0.7,0.8,0.8,0.7,0.5857,0.483
[1.0],0.7,0.8,0.8,0.5,0.4714,0.2808
[1.0],0.9,0.5,0.8,0.9,0.3429,0.4824
[1.0],0.9,0.8,0.7,0.9,0.3857,0.3157
[1.0],0.9,0.9,0.8,0.5,0.4143,0.6058
[0.0],0.7,0.8,0.9,0.7,0.3286,0.6268
[1.0],0.7,0.8,0.8,0.7,0.2571,0.675
[1.0],0.9,0.9,0.8,0.7,0.2857,0.6684
[0.0],0.7,0.8,0.3,0.7,0.4143,0.9753
[1.0],0.3,0.9,0.8,0.7,0.3571,0.344
[1.0],0.9,0.8,0.6,0.9,0.4714,0.6028
[1.1],0.7,0,0.8,0.7,0.4,0.2344
[1.0],0.9,0.8,0.8,0.9,0.0714,0.6178
[1.1],0.7,0.8,0.8,0.7,0.7857,0.7984
[1.0],0.5,0.7,0.8,0.7,0.1429,0.7292
[0.0],0.9,0.9,0.8,0.7,0.5571,0.666
[1.1],0.7,0.8,0.9,0.7,0.6857,0.5299
[1.0],0.9,0.8,0.8,0.7,0.1571,0.666
[0.0],0.7,0.8,0.8,0.7,0.2571,0.0641
[1.1],0.3,0.8,0.8,0.7,0.2714,0.1237
[1.0],0.7,0.8,0.8,0.9,0.1,0.6103
[1.0],0.9,0.8,0.8,0.5,0.5143,0.6506
[1.0],0.9,0.8,0.8,0.7,0.2,0.6753
[1.1],0.7,0,0.8,0.7,0.1143,0.2344
[1.0],0.9,0.7,0.4,0.7,0.3714,0.6223
[1.0],0.9,0.8,0.8,0.7,0.2714,0.1303
[1.0],0.7,0.7,0.9,0.5,0.2429,0.6765
[1.0],0.9,0.7,0.9,0.7,0.6286,0.4243
[1.1],0.5,0.8,0.8,0.7,0.0286,0.6488
[1.0],0.9,0.5,0.8,0.7,0.4286,0.7502
[1.0],0.5,0.8,0.8,0.9,0.2571,0.6208
[0.0],0.7,0.8,0.8,0.7,0.2143,0.6548
[1.0],0.9,0.8,0.7,0.9,0.6857,0.6274
[1.0],0.9,0.7,0.8,0.9,0.0857,0.0021
[1.0],0.9,0.8,0.8,0.7,0.1143,0.232
[1.0],0.3,0.8,0.8,0.7,0.2286,0.5787
[1.0],0.9,0.8,0.8,0.7,0.7143,0.5492
[0.0],0.9,0.5,0.8,0.7,0.3571,0.7839
[1.0],0.7,0.6,0.7,0.7,0.2,0.0346
[1.0],0.9,0.8,0.8,0.7,0.5857,0.6178
[1.0],0.9,0.8,0.8,0.7,0.5429,0.9187
[1.0],0.3,0.7,0.8,0.7,0.5429,0.6106
[1.0],0.9,0.8,0.8,0.7,0.4143,0.4243
[1.0],0.7,0.8,0.8,0.5,0.4,0.693
[1.0],0.9,0.8,0.8,0.7,0.4429,0.8077
[1.0],0.9,0.7,0.8,0.9,0.2143,0.6256
[1.0],0.9,0.5,0.8,0.5,0.2286,0.1321
[1.0],0.9,0.7,0.8,0.9,0.3286,0.6205
[0.0],0.9,0.8,0.6,0.5,0.4571,0.6208
[1.0],0.7,0.9,0.8,0.7,0.3857,0.1017
[1.0],0.9,0.7,0.6,0.7,0.1286,0.7999
[1.1],0.7,0.8,0.9,0.7,0.1714,0.5299
[1.0],0.3,0.6,0.8,0.9,0.1143,0.6178
[0.0],0.9,0.8,0.8,0.5,0.6286,0.9633
[1.0],0.9,0.8,0.8,0.5,0.2143,0.5667
[1.0],0.9,0.8,0.8,0.7,0.7714,0.4406
[0.0],0.7,0.8,0.8,0.5,0.5857,0.5826
[0.0],0.9,0.7,0.8,0.7,0.4571,0.6055
[1.0],0.9,0.8,0.8,0.7,0.3143,0.8044
[1.0],0.9,0.8,0.9,0.7,0.8143,0.7797
[1.0],0.9,0.8,0.8,0.9,0.1286,0.6208
[1.0],0.9,0.8,0.8,0.9,0.0714,0.5847
[1.0],0.9,0.8,0.2,0.7,0.4286,0.6178
[0.0],0.7,0.8,0.6,0.7,0.2143,0.6088
[1.0],0.9,0.8,0.8,0.7,0.2571,0.5907
[1.0],0.7,0.8,0.9,0.7,0.4429,0.2778
[1.0],0.5,0.8,0.8,0.9,0.5429,0.6419
[1.0],0.9,0.8,0.8,0.7,0.2857,0.1213
[1.1],0.9,0.8,0.8,0.7,0.3286,0.8203
[0.0],0.5,0.8,0.8,0.7,0.3286,0.1273
