@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P5.0-V

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[1.0],0.7,0.8,0.8,0.7,0.6,0.9031
[1.0],0.3,0.8,0.8,0.7,0.0857,0.6199
[1.0],0.5,0.8,0.5,0.7,0.5714,0.6299
[0.0],0.7,0.8,0.4,0.7,0.1286,0.672
[1.0],0.9,0.8,0.5,0.7,0.5286,0.6545
[1.1],0.9,0.8,0.7,0.5,0.0571,0.4827
[0.0],0.9,0.8,0.8,0.7,0.1857,0.6359
[1.0],0.9,0.8,0.8,0.7,0.2286,0.5907
[0.0],0.5,0.8,0.8,0.5,0.1571,0.2654
[0.0],0.5,0.8,0.8,0.7,0.1143,0.2654
[1.0],0.9,0.8,0.8,0.7,0.6429,0.6118
[1.0],0.9,0.8,0.8,0.7,0.1,0.6539
[1.0],0.9,0.7,0.8,0.9,0.3714,0.6175
[1.0],0.9,0.5,0.8,0.5,0.2429,0.1754
[1.0],0.9,0.8,0.9,0.9,0.3571,0.6148
[1.0],0.7,0.8,0.8,0.7,0.2857,0.1484
[0.0],0.9,0.5,0.8,0.7,0.4429,0.5974
[1.0],0.9,0.9,0.9,0.7,0.3143,0.7418
[0.0],0.9,0.8,0.8,0.7,0.2429,0.6049
[0.0],0.9,0.8,0.8,0.7,0.6429,0.0761
[1.1],0.7,0.8,0.8,0.5,0.2,0.6545
[1.0],0.5,0.8,0.8,0.5,0.2571,0.5411
[1.0],0.9,0.8,0.6,0.7,0.3286,0.1691
[1.0],0.5,0.8,0.8,0.9,0.2143,0.6088
[1.1],0.9,0.9,0.8,0.5,0.0714,0.6299
[1.0],0.9,0.9,0.8,0.5,0.0286,0.0731
[1.0],0.7,0.8,0.4,0.5,0.4143,0.6545
[1.0],0.7,0.8,0.8,0.7,0.1,0.6205
[1.0],0.9,0.8,0.8,0.7,0.3714,0.3569
[1.1],0.9,0.7,0.8,0.5,0.4143,0.1077
[1.0],0.9,0.7,0.9,0.7,0.1857,0.78
[1.0],0.9,0.8,0.6,0.5,0.2143,0.8044
[1.0],0.9,0.7,0.8,0.9,0.3286,0.6205
[1.0],0.5,0.7,0.8,0.7,0.7857,0.7292
[1.0],0.5,0.8,0.9,0.7,0.2,0.5068
[1.0],0.9,0.8,0.8,0.7,0.1,0.1995
[1.0],0.7,0.8,0.9,0.7,0.6286,0.2928
[1.0],0.9,0.8,0.8,0.7,0.2286,0.2119
[1.0],0.5,0.9,0.8,0.7,0.3571,0.9203
[1.0],0.7,0.8,0.8,0.7,0.5286,0.0873
[1.0],0.7,0.9,0.8,0.7,0.1429,0.6088
[1.0],0.9,0.9,0.9,0.7,0.1571,0.9639
[1.0],0.9,0.8,0.9,0.7,0.6571,0.7797
[1.1],0.7,0.9,0.8,0.5,0.5143,0.9187
[0.0],0.7,0.9,0.8,0.7,0.5571,0.1363
[1.1],0.9,0.5,0.8,0.5,0.3571,0.2146
[1.0],0.5,0.9,0.8,0.7,0.3571,0.9203
[1.0],0.9,0.8,0.8,0.9,0.3571,0.5095
[1.0],0.7,0.8,0.9,0.9,0.1,0.6112
[1.0],0.3,0.9,0.8,0.7,0,0.344
[1.0],0.9,0.8,0.8,0.9,0.0571,0.6148
[0.0],0.9,0.5,0.8,0.7,0.3286,0.3079
[1.0],0.9,0.8,0.8,0.5,0.3429,0.6205
[0.0],0.5,0.8,0.8,0.7,0.2429,0.1273
[0.0],0.9,0.8,0.8,0.7,0.2857,0.6208
[0.0],0.7,0.8,0.9,0.7,0.3286,0.6268
[1.1],0.7,0.8,0.8,0.5,0.0429,0.6545
[1.0],0.9,0.8,0.8,0.7,0.5143,0.5396
[1.0],0.7,0.8,0.8,0.5,0.2857,0.6238
[1.0],0.9,0.7,0.8,0.7,0.3143,0.1544
[1.0],0.7,0,0.8,0.7,0.3,0.3079
[0.0],0.9,0.8,0.8,0.7,0.2714,0.6178
[1.0],0.9,0.8,0.8,0.7,0.7714,0.176
[1.1],0.9,0.8,0.8,0.5,0.3286,0.2928
[0.0],0.3,0.6,0.8,0.5,0.3714,0.3771
[0.0],0.7,0.8,0.8,0.5,0.5857,0.8465
[1.0],0.7,0.8,0.8,0.5,0.2571,0.0873
[0.0],0.9,0.8,0.8,0.7,0.3714,0.8128
[0.0],0.9,0.8,0.2,0.7,0.3571,0.5712
[1.0],0.9,0.5,0.8,0.7,0.2286,0.7231
[0.0],0.9,0.8,0.8,0.7,0.2857,0.1122
[0.0],0.9,0.8,0.8,0.7,0.1857,0.6178
[1.0],0.9,0.8,0.8,0.9,0.5714,0.6028
[1.0],0.9,0.8,0.8,0.7,0.6571,0.176
[1.0],0.7,0.8,0.8,0.5,0.0286,0.2808
[0.0],0.9,0.8,0.8,0.5,0.5429,0.5456
[1.0],0.9,0.7,0.8,0.7,0.3429,0.0138
[1.0],0.7,0.8,0.8,0.5,0.9143,0.2808
[1.0],0.7,0.8,0.5,0.7,0.1714,0.1222
[1.1],0.9,0.8,0.8,0.5,0.4286,0.2928
[1.0],0.9,0.5,0.8,0.7,0.8143,0.7502
[1.0],0.9,0.9,0.8,0.7,0.5286,0.9669
[1.0],0.9,0.8,0.8,0.7,0.2857,0.8044
[0.0],0.9,0.5,0.5,0.7,0.8857,0.1574
[1.0],0.9,0.8,0.8,0.7,0.3143,0.1785
[0.0],0.7,0.8,0.8,0.7,0.1143,0.5967
[0.0],0.7,0.8,0.8,0.7,0.2571,0.5967
[1.0],0.9,0.8,0.9,0.7,0.4857,0.6166
[1.0],0.9,0.8,0.8,0.7,0.1429,0.8255
[1.0],0.9,0.8,0.8,0.9,0.0714,0.5814
[1.0],0.3,0.9,0.8,0.7,0.1143,0.4643
[1.0],0.7,0.8,0.9,0.7,0.3714,0.1821
[1.1],0.9,0.9,0.8,0.5,0.0714,0.6299
[1.0],0.7,0.8,0.8,0.7,0.0286,0.1484
[1.0],0.7,0.8,0.8,0.7,0.3143,0.5185
[1.1],0.7,0.8,0.8,0.5,0.3,0.6545
[1.1],0.7,0.3,0.8,0.5,0.4714,0.4643
[1.0],0.9,0.8,0.8,0.7,0.1714,0.5955
[0.0],0.9,0.5,0.8,0.7,0.6143,0.1243
[0.0],0.9,0.5,0.8,0.7,0.0857,0.152
[1.0],0.7,0.8,0.9,0.9,0.2857,0.6268
[1.0],0.9,0.8,0.8,0.7,0.7286,0.8766
[1.0],0.9,0.8,0.8,0.7,0.7143,0.5492
[1.0],0.9,0.8,0.8,0.7,0.5714,0.5937
[1.0],0.9,0.8,0.5,0.9,0.4286,0.6154
[0.0],0.9,0.5,0.6,0.7,0.4714,0.8194
